Index,N.Repetition,N.Processes,N.Threads,N.Characters,Time to read text,Time to get CharFreq,Time to receive and merge CharFreq,Time to sort CharFreq,Time to create encoding dictionary,Time to send encoding dictionary,Time to encode text,Time to receive encoded text,Time to write header to file,Time to write tree to file,Time to write encoded text to file,Time to write dimensions array to file,
22,2,2,4,271604,0.003724098206,0.004823207855,0.002923250198,0.0001451969147,0.0001833438873,5.912780762e-05,0.05268955231,0.001036882401,0.00582575798,0.004715442657,0.009032249451,0.005658388138,
23,3,2,4,271604,0.004672765732,0.005128383636,0.001137971878,0.0001349449158,0.0001749992371,6.008148193e-05,0.05241012573,0.001389741898,0.005785942078,0.00501203537,0.00935792923,0.005315065384,
24,4,2,4,271604,0.004782438278,0.005525588989,0.0002503395081,0.0001463890076,0.0001935958862,6.318092346e-05,0.05274343491,0.001150846481,0.006660461426,0.004685163498,0.007730722427,0.004630327225,
25,5,2,4,271604,0.003934383392,0.005367517471,0.08626174927,0.0003206729889,0.0001831054688,6.318092346e-05,0.05233883858,0.001280546188,0.05912685394,0.004738330841,0.007767915726,0.004558324814,
26,6,2,4,271604,0.003876686096,0.004978895187,0.002198696136,0.0001459121704,0.00017786026,6.103515625e-05,0.05262541771,0.0009770393372,0.006145954132,0.005043268204,0.009109020233,0.004663228989,
27,7,2,4,271604,0.004268884659,0.004881858826,0.1297886372,0.0003085136414,0.0001895427704,6.079673767e-05,0.0525302887,0.00112080574,0.006173610687,0.004551887512,0.007818698883,0.007726192474,
28,8,2,4,271604,0.004407644272,0.004960536957,0.03329181671,0.0003130435944,0.000182390213,7.200241089e-05,0.05242323875,0.001162528992,0.006397724152,0.004490852356,0.008456468582,0.004874944687,
29,9,2,4,271604,0.004296302795,0.00501203537,0.03858089447,0.0003159046173,0.0001850128174,6.985664368e-05,0.05247068405,0.001448154449,0.006719350815,0.004897117615,0.0077085495,0.004963874817,
30,10,2,4,271604,0.004516363144,0.004867076874,0.001082420349,0.0001480579376,0.0001838207245,5.769729614e-05,0.0527203083,0.001068592072,0.007994890213,0.005954504013,0.008248090744,0.005056858063,
31,1,2,5,271604,0.005923032761,0.004349946976,0.002663135529,0.0001618862152,0.000186920166,5.912780762e-05,0.05286312103,0.0009527206421,0.006252527237,0.004854917526,0.008216381073,0.00462269783,
32,2,2,5,271604,0.004292726517,0.004809856415,0.0113427639,0.0001816749573,0.0001883506775,5.888938904e-05,0.05292129517,0.0008943080902,0.005980968475,0.004741668701,0.007788419724,0.005847454071,
