Index,N.Processes,N.Threads,N.Characters,Read File,Parse Header,Parse Huffman Tree,Parse Block Lengths,Calculate Block Range,Decode Single Text,Merge Decoded Texts,
1,4,2,0,0.003575325012,9.036064148e-05,6.055831909e-05,0.0001263618469,1.525878906e-05,0.01094770432,0.03955435753,
2,1,1,0,0.002338171005,0.0001091957092,6.556510925e-05,0.0001227855682,5.960464478e-06,0.03927469254,0.002660274506,
3,1,2,0,0.001939535141,8.225440979e-05,6.031990051e-05,0.0001323223114,1.549720764e-05,0.03955817223,0.002529859543,
4,1,3,0,0.00248169899,9.870529175e-05,7.224082947e-05,0.0001771450043,1.454353333e-05,0.03977894783,0.003074645996,
5,1,4,0,0.001919031143,8.4400177e-05,6.413459778e-05,0.0001833438873,1.525878906e-05,0.03979825974,0.002886533737,
6,1,5,0,0.001951694489,6.127357483e-05,2.241134644e-05,9.822845459e-05,7.152557373e-06,0.03925919533,0.002877473831,
7,1,6,0,0.001871824265,8.630752563e-05,6.484985352e-05,0.0001482963562,1.645088196e-05,0.03927993774,0.002981901169,
8,1,7,0,0.001953840256,8.916854858e-05,6.461143494e-05,0.0001573562622,6.675720215e-06,0.03933763504,0.002881526947,
9,1,8,0,0.002384662628,8.082389832e-05,6.222724915e-05,0.00017619133,1.573562622e-05,0.03966879845,0.003098487854,
10,1,9,0,0.002105951309,8.463859558e-05,7.486343384e-05,0.0001769065857,1.525878906e-05,0.03943896294,0.003428697586,
11,1,10,0,0.001847505569,9.083747864e-05,6.484985352e-05,0.0001606941223,6.675720215e-06,0.03922343254,0.002876520157,
12,1,11,0,0.002126693726,0.0001037120819,7.700920105e-05,0.00017786026,1.621246338e-05,0.03952646255,0.003018379211,
13,1,12,0,0.002367258072,8.749961853e-05,8.201599121e-05,0.0001780986786,1.573562622e-05,0.03914165497,0.00258731842,
14,1,13,0,0.002003192902,9.179115295e-05,6.103515625e-05,0.0001735687256,1.525878906e-05,0.03969836235,0.002857923508,
15,1,14,0,0.001966953278,8.55922699e-05,8.201599121e-05,0.0001754760742,1.573562622e-05,0.03953576088,0.003067731857,
16,1,15,0,0.00203871727,8.726119995e-05,6.580352783e-05,0.0001742839813,1.502037048e-05,0.03934192657,0.003123998642,
17,1,16,0,0.001905441284,8.606910706e-05,3.743171692e-05,9.727478027e-05,6.198883057e-06,0.03937983513,0.002974748611,
18,2,1,0,0.002425432205,8.249282837e-05,6.103515625e-05,0.0001759529114,1.59740448e-05,0.02063703537,0.003567218781,
19,2,2,0,0.002463579178,7.9870224e-05,6.031990051e-05,0.0001726150513,1.59740448e-05,0.02063798904,0.005389928818,
20,2,3,0,0.001929998398,8.344650269e-05,3.528594971e-05,9.512901306e-05,7.86781311e-06,0.02047276497,0.007273435593,
21,2,4,0,0.002011299133,9.894371033e-05,7.510185242e-05,0.0001306533813,1.502037048e-05,0.02082419395,0.007790327072,
22,2,5,0,0.00293302536,8.4400177e-05,6.031990051e-05,0.0001738071442,1.525878906e-05,0.02085900307,0.004732131958,
23,2,6,0,0.002100229263,8.201599121e-05,5.93662262e-05,0.0001740455627,1.573562622e-05,0.02043509483,0.04528617859,
24,2,7,0,0.006472349167,9.679794312e-05,6.198883057e-05,0.000182390213,6.914138794e-06,0.02034544945,0.04533934593,
25,2,8,0,0.002558469772,8.082389832e-05,6.008148193e-05,0.0001754760742,1.47819519e-05,0.02064347267,0.005025148392,
26,2,9,0,0.002027511597,8.487701416e-05,6.151199341e-05,0.0001249313354,1.502037048e-05,0.02072691917,0.02912449837,
27,2,10,0,0.002469301224,8.249282837e-05,6.031990051e-05,0.000155210495,6.675720215e-06,0.02049136162,0.02251362801,
28,2,11,0,0.002985715866,0.000100851059,6.079673767e-05,0.000185251236,2.05039978e-05,0.02040672302,0.006887674332,
29,2,12,0,0.002146244049,7.677078247e-05,6.008148193e-05,0.0001735687256,6.198883057e-06,0.02050352097,0.008172035217,
30,2,13,0,0.002458095551,7.891654968e-05,5.93662262e-05,0.0001699924469,1.525878906e-05,0.0206182003,0.0065574646,
31,2,14,0,0.002583265305,9.441375732e-05,6.079673767e-05,0.000180721283,1.573562622e-05,0.02098202705,0.06272602081,
32,2,15,0,0.002004146576,8.630752563e-05,6.818771362e-05,9.655952454e-05,6.914138794e-06,0.02047252655,0.1239283085,
33,2,16,0,0.001991987228,9.632110596e-05,6.103515625e-05,0.0001752376556,1.549720764e-05,0.02052736282,0.0885310173,
34,3,1,0,0.002673149109,8.463859558e-05,6.937980652e-05,0.0001327991486,1.621246338e-05,0.01415419579,0.08938837051,
35,3,2,0,0.001984834671,8.463859558e-05,6.914138794e-05,0.0001263618469,1.454353333e-05,0.01435995102,0.0617120266,
36,3,3,0,0.002386569977,9.608268738e-05,6.771087646e-05,0.0001289844513,1.549720764e-05,0.01435899734,0.5198917389,
37,3,4,0,0.002015590668,8.320808411e-05,6.484985352e-05,0.0001730918884,1.59740448e-05,0.01442122459,0.1251637936,
38,3,5,0,0.002097129822,9.01222229e-05,6.008148193e-05,0.0001354217529,1.549720764e-05,0.01440048218,0.09773135185,
